location,price,type_of_flat
" Московская область, Одинцово, Сколковская улица, 3А Одинцово",32000вмесяц,"2-к квартира, 40 м², 10/25 эт."
" Можайское ш., 45А Одинцово",28000вмесяц,"1-к квартира, 40 м², 6/17 эт.Онлайн-показ"
" ул. Говорова, 52 Одинцово",1800засутки,"1-к квартира, 40 м², 6/17 эт."
" Вокзальная ул., 33 Одинцово",8000вмесяц,"1-к квартира, 46 м², 5/9 эт.Онлайн-показ"
" ул. Маршала Бирюзова, 12 Одинцово",2000засутки,"2-к квартира, 57 м², 2/5 эт."
" Союзная ул., 10 Одинцово",29500вмесяц,"1-к квартира, 40 м², 10/18 эт."
" ул. Маковского, 26 Одинцово",1900засутки,"1-к квартира, 37.2 м², 24/25 эт."
" Сколковская ул., 1Б Одинцово",27000вмесяц,"1-к квартира, 35 м², 6/20 эт.Онлайн-показ"
" ул. Маршала Жукова, 43 Одинцово",27000вмесяц,"2-к квартира, 46 м², 3/5 эт."
" ул. Чикина, 2 Одинцово",1600засутки,"1-к квартира, 47 м², 5/22 эт."
" Северная ул., 5к4 Одинцово",1900засутки,"Студия, 44 м², 5/24 эт."
" Северная ул., 36 Одинцово",2200засутки,"2-к квартира, 65 м², 7/22 эт."
" Союзная ул., 2 Одинцово",1490засутки,"1-к квартира, 39 м², 5/9 эт."
" Северная ул., 5к3 Одинцово",2800засутки,"3-к квартира, 90 м², 7/24 эт."
" ул. Чистяковой, 18 Одинцово",1800засутки,"Студия, 20 м², 1/18 эт."
" ул. Чистяковой, 18 Одинцово",1800засутки,"Студия, 20 м², 1/25 эт."
" Молодёжная ул., 4 Одинцово",1450засутки,"1-к квартира, 45 м², 5/9 эт."
" Садовая ул., 24 Одинцово",1550засутки,"1-к квартира, 45 м², 18/24 эт."
" ул. Маковского, 26 Одинцово",27000вмесяц,"1-к квартира, 38 м², 15/24 эт.Онлайн-показ"
" ул. Маршала Жукова, 11А Одинцово",2000засутки,"2-к квартира, 65 м², 5/22 эт."
" Союзная ул., 2 Одинцово",1490засутки,"1-к квартира, 39 м², 5/9 эт."
" Вокзальная ул., 19 Одинцово",2600засутки,"1-к квартира, 39.7 м², 6/17 эт."
" Северная ул., 5к3 Одинцово",40000вмесяц,"2-к квартира, 56 м², 5/21 эт."
" Советская ул., 1 Одинцово",2600засутки,"1-к квартира, 35.2 м², 9/16 эт."
" ул. Чикина, 12 Одинцово",2000засутки,"1-к квартира, 46 м², 9/17 эт."
" ул. Маковского, 26 Одинцово",25000вмесяц,"1-к квартира, 39 м², 14/25 эт."
" Можайское ш., 165 Одинцово",1500засутки,"1-к квартира, 48 м², 8/22 эт."
" Вокзальная ул., 1 Одинцово",1490засутки,"1-к квартира, 34 м², 5/9 эт."
 Центральная пл. Одинцово,1500засутки,"1-к квартира, 47 м², 7/24 эт."
Одинцово,20000вмесяц,"Студия, 20 м², 10/17 эт."
" Можайское ш., 22 Одинцово",1490засутки,"1-к квартира, 40 м², 6/9 эт."
" Сколковская ул., 3В Одинцово",2962засутки,"1-к квартира, 28 м², 19/25 эт."
" Садовая ул., 24 Одинцово",2000засутки,"2-к квартира, 50 м², 5/24 эт."
" ул. Маршала Бирюзова, 24к2 Одинцово",26000вмесяц,"1-к квартира, 35 м², 10/12 эт."
" Можайское ш., 24 Одинцово",1490засутки,"1-к квартира, 39 м², 3/9 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 31 Одинцово",32000вмесяц,"2-к квартира, 46 м², 7/11 эт."
" Молодёжная ул., 20 Одинцово",25000вмесяц,"Студия, 19 м², 2/5 эт.Онлайн-показ"
" Сколковская ул., 3В Одинцово",26000вмесяц,"Студия, 20 м², 20/27 эт.Онлайн-показ"
" Северная ул., 5к3 Одинцово",25000вмесяц,"Студия, 33 м², 10/23 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 15 Одинцово",33000вмесяц,"2-к квартира, 63 м², 9/24 эт."
" Белорусская ул., 6 Одинцово",25000вмесяц,"Студия, 31 м², 4/22 эт."
" Союзная ул., 2 Одинцово",2000засутки,"1-к квартира, 45 м², 3/9 эт."
" Сколковская ул., 1Б Одинцово",1500засутки,"1-к квартира, 30 м², 2/27 эт."
" Вокзальная ул., 9 Одинцово",25000вмесяц,"1-к квартира, 29 м², 1/9 эт."
" Молодёжная ул., 10 Одинцово",22000вмесяц,"2-к квартира, 46 м², 4/5 эт.Онлайн-показ"
" Можайское ш., 143 Одинцово",35000вмесяц,"2-к квартира, 53 м², 16/16 эт.Онлайн-показ"
" Можайское ш., 24 Одинцово",20000вмесяц,"2-к квартира, 47 м², 7/9 эт.Онлайн-показ"
" Триумфальная ул., 4 Одинцово",40000вмесяц,"2-к квартира, 67 м², 14/17 эт."
" ул. Маршала Бирюзова, 30Б Одинцово",25000вмесяц,"1-к квартира, 39 м², 5/12 эт."
" Гвардейская ул., 15 Одинцово",27000вмесяц,"Студия, 30 м², 10/17 эт.Онлайн-показ"
" микрорайон Новая Трёхгорка, Кутузовская ул., 9 Одинцово",28000вмесяц,"1-к квартира, 43 м², 15/18 эт.Онлайн-показ"
" Сколковская ул., 1В Одинцово",1490засутки,"1-к квартира, 40 м², 3/24 эт."
" ул. Маршала Бирюзова, 26 Одинцово",24000вмесяц,"1-к квартира, 35 м², 4/9 эт."
" Белорусская ул., 13 Одинцово",25000вмесяц,"1-к квартира, 31 м², 11/22 эт.Онлайн-показ"
" ул. Маковского, 26 Одинцово",2390засутки,"2-к квартира, 45 м², 9/25 эт."
" Белорусская ул., 2 Одинцово",2500засутки,"1-к квартира, 45 м², 1/23 эт."
" Северная ул., 36 Одинцово",2000засутки,"2-к квартира, 65 м², 7/24 эт."
" жилой комплекс Одинцово-1, 1/11 Одинцово",30000вмесяц,"1-к квартира, 40 м², 2/22 эт.Онлайн-показ"
" Молодёжная ул., 18 Одинцово",20000вмесяц,"1-к квартира, 35 м², 5/5 эт."
" Московская область, Одинцово, Каштановая улица, 6 Одинцово",29000вмесяц,"2-к квартира, 52.7 м², 4/25 эт."
" Сколковская ул., 3Б Одинцово",2000засутки,"2-к квартира, 60 м², 5/5 эт."
" ул. Маршала Жукова, 1А Одинцово",25000вмесяц,"1-к квартира, 44 м², 3/9 эт.Онлайн-показ"
" Белорусская ул., 2 Одинцово",1000засутки,"1-к квартира, 42 м², 6/22 эт."
" Белорусская ул., 9 Одинцово",20000вмесяц,"Студия, 28 м², 10/22 эт.Онлайн-показ"
" ул. Говорова, 8 Одинцово",22000вмесяц,"1-к квартира, 36 м², 4/9 эт.Онлайн-показ"
" микрорайон Новая Трёхгорка, Кутузовская ул., 1 Одинцово",3000засутки,"4-к квартира, 90 м², 12/24 эт."
" Можайское ш., 34 Одинцово",2300засутки,"2-к квартира, 65 м², 5/20 эт."
 жилой комплекс Гусарская Баллада Одинцово,25000вмесяц,"1-к квартира, 40 м², 2/10 эт."
" ул. Говорова, 30 Одинцово",1800засутки,"1-к квартира, 45 м², 15/16 эт."
" Сколковская ул., 3А Одинцово",34800вмесяц,"Студия, 38 м², 20/24 эт."
" Северная ул., 5к4 Одинцово",2000засутки,"Студия, 20 м², 8/24 эт."
" ул. Чистяковой, 48 Одинцово",30000вмесяц,"1-к квартира, 41 м², 15/24 эт.Онлайн-показ"
" Союзная ул., 2 Одинцово",1490засутки,"1-к квартира, 39 м², 5/9 эт."
" Вокзальная ул., 19 Одинцово",2600засутки,"1-к квартира, 39.7 м², 6/17 эт."
" Северная ул., 5к3 Одинцово",40000вмесяц,"2-к квартира, 56 м², 5/21 эт."
 61 д. Глазынино,2000засутки,"2-к квартира, 40 м², 2/3 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 9 Одинцово",28000вмесяц,"1-к квартира, 43 м², 3/17 эт."
" Белорусская ул., 6 Одинцово",1500засутки,"1-к квартира, 42 м², 7/22 эт."
" Белорусская ул., 2 Одинцово",2500засутки,"1-к квартира, 45 м², 1/23 эт."
" Сколковская ул., 3А Одинцово",19800вмесяц,"Студия, 20 м², 2/25 эт."
" Комсомольская ул., 16к2 Одинцово",30000вмесяц,"1-к квартира, 38 м², 4/9 эт.Онлайн-показ"
" Садовая ул., 22А Одинцово",30000вмесяц,"1-к квартира, 40 м², 3/22 эт."
" ул. Чистяковой, 18 Одинцово",65000вмесяц,"4-к квартира, 102 м², 19/23 эт.Онлайн-показ"
" Сколковская ул., 3А Одинцово",1980засутки,"Студия, 20 м², 2/25 эт."
" Можайское ш., 41 Одинцово",27000вмесяц,"2-к квартира, 48 м², 3/5 эт."
" Сколковская ул., 3А Одинцово",1980засутки,"Студия, 20 м², 2/25 эт."
" Сколковская ул., 3А Одинцово",34800вмесяц,"Студия, 38 м², 20/24 эт."
" Сосновая ул., 10 Одинцово",38000вмесяц,"2-к квартира, 68 м², 5/12 эт.Онлайн-показ"
" ул. Маршала Неделина, 15 Одинцово",55000вмесяц,"3-к квартира, 110 м², 11/17 эт.Онлайн-показ"
" Сколковская ул., 3А Одинцово",19800вмесяц,"Студия, 20 м², 2/25 эт."
" ул. Чистяковой, 66 Одинцово",30000вмесяц,"2-к квартира, 55 м², 22/22 эт."
" Московская область, Одинцово, Сколковская улица, 1Б Одинцово",1500засутки,"1-к квартира, 33 м², 2/27 эт."
" Московская область, Одинцовский городской округ, село Юдино, Школьная улица, 11 Лесной Городок",28000вмесяц,"2-к квартира, 65.8 м², 6/9 эт."
" Северная ул., 36 Одинцово",2000засутки,"2-к квартира, 65 м², 7/24 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 9 Одинцово",28000вмесяц,"1-к квартира, 43 м², 15/18 эт.Онлайн-показ"
" микрорайон Новая Трёхгорка, Кутузовская ул., 31 Одинцово",32000вмесяц,"2-к квартира, 46 м², 7/11 эт."
" ул. Маршала Бирюзова, 30Б Одинцово",20000вмесяц,"1-к квартира, 34 м², 5/14 эт.Онлайн-показ"
 64 д. Глазынино,2500засутки,"2-к квартира, 50 м², 2/3 эт."
" Московская область, Одинцово, Рябиновая улица, 5 Одинцово",28100вмесяц,"1-к квартира, 38.2 м², 6/25 эт."
" ул. Маршала Жукова, 10 Одинцово",30000вмесяц,"3-к квартира, 63 м², 4/5 эт.Онлайн-показ"
" Сколковская ул., 3А Одинцово",1980засутки,"Студия, 18 м², 2/18 эт."
" ул. Маршала Бирюзова, 30А Одинцово",23500вмесяц,"1-к квартира, 41 м², 14/14 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 15 Одинцово",33000вмесяц,"2-к квартира, 63 м², 9/24 эт."
" Молодёжная ул., 42 Одинцово",31000вмесяц,"2-к квартира, 52 м², 1/12 эт.Онлайн-показ"
" Вокзальная ул., 9 Одинцово",25000вмесяц,"1-к квартира, 29 м², 1/9 эт."
 ул Белорусская Одинцово,1600засутки,"Студия, 42 м², 7/22 эт."
" Северная ул., 5к2 Одинцово",30000вмесяц,"Студия, 38 м², 9/24 эт.Онлайн-показ"
" ул. Маковского, 16 Одинцово",38000вмесяц,"2-к квартира, 60 м², 3/22 эт.Онлайн-показ"
" б-р Маршала Крылова, 6 Одинцово",40000вмесяц,"2-к квартира, 51 м², 4/17 эт."
" ул. Чистяковой, 67 Одинцово",1499засутки,"Студия, 23 м², 16/22 эт."
" ул. Чистяковой, 2 Одинцово",33000вмесяц,"3-к квартира, 73 м², 2/16 эт."
" ул. Чикина, 2 Одинцово",1600засутки,"1-к квартира, 47 м², 5/22 эт."
" Северная ул., 16 Одинцово",28000вмесяц,"2-к квартира, 40 м², 8/14 эт."
" ул. Чистяковой, 18 Одинцово",1800засутки,"Студия, 20 м², 1/18 эт."
" Можайское ш., 112А Одинцово",1800засутки,"1-к квартира, 46 м², 13/19 эт."
" Сколковская ул., 7Б Одинцово",28000вмесяц,"1-к квартира, 44.6 м², 2/17 эт."
 11 пос. Часцы,25000вмесяц,"2-к квартира, 33 м², 9/9 эт."
" Можайское ш., 136А Одинцово",2000засутки,"1-к квартира, 48 м², 15/24 эт."
" ул. Чистяковой, 65 Одинцово",37000вмесяц,"2-к квартира, 67 м², 19/21 эт."
" Вокзальная ул., 19 Одинцово",30000вмесяц,"1-к квартира, 35 м², 14/19 эт."
" Рябиновая ул., 7 Одинцово",20000вмесяц,"Студия, 20 м², 1/15 эт."
" Московская область, Одинцово, Рябиновая улица, 1 Одинцово",25000вмесяц,"1-к квартира, 42 м², 9/14 эт."
" ул. Чистяковой, 62 Одинцово",35000вмесяц,"1-к квартира, 40 м², 20/24 эт."
" Северная ул., 64 Одинцово",20000вмесяц,"1-к квартира, 31.6 м², 1/5 эт."
" ул. Чистяковой, 18 Одинцово",45000вмесяц,"3-к квартира, 84 м², 16/17 эт.Онлайн-показ"
" Садовая ул., 24 Одинцово",75000вмесяц,"2-к квартира, 65 м², 17/24 эт."
" Белорусская ул., 6 Одинцово",25000вмесяц,"Студия, 31 м², 4/22 эт."
" Верхне-Пролетарская ул., 35 Одинцово",33000вмесяц,"1-к квартира, 42 м², 3/24 эт."
" Привокзальная ул., 20 Одинцово",29000вмесяц,"1-к квартира, 48 м², 1/1 эт.Онлайн-показ"
" Северная ул., 5к4 Одинцово",1900засутки,"1-к квартира, 39 м², 4/24 эт."
" Сколковская ул., 3А Одинцово",19800вмесяц,"Студия, 18 м², 2/25 эт."
" Вокзальная ул., 37к1 Одинцово",30000вмесяц,"1-к квартира, 42 м², 14/16 эт."
" Можайское ш., 100А Одинцово",38000вмесяц,"Студия, 41 м², 7/27 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 4А Одинцово",35000вмесяц,"2-к квартира, 62 м², 12/17 эт."
" Московская область, Одинцово, Ново-Спортивная улица, 16к2 Одинцово",28000вмесяц,"1-к квартира, 36 м², 3/12 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 7 Одинцово",1800засутки,"1-к квартира, 56 м², 24/24 эт."
" ул. Маковского, 16 Одинцово",30000вмесяц,"1-к квартира, 49 м², 12/22 эт.Онлайн-показ"
" ул. Маршала Бирюзова, 18 Одинцово",35000вмесяц,"2-к квартира, 45 м², 1/5 эт."
" Московская область, Одинцово, Сколковская улица, 1Б Одинцово",1500засутки,"1-к квартира, 30 м², 2/27 эт."
" Московская область, Одинцово, Сколковская улица, 1Б Одинцово",1500засутки,"1-к квартира, 30 м², 2/27 эт."
" Комсомольская ул., 11 Одинцово",29000вмесяц,"1-к квартира, 40 м², 9/25 эт.Онлайн-показ"
" Сколковская ул., 3А Одинцово",19800вмесяц,"Студия, 16 м², 2/25 эт."
" ул. Маковского, 26 Одинцово",30000вмесяц,"1-к квартира, 37 м², 3/26 эт.Онлайн-показ"
" Сколковская ул., 7А Одинцово",27000вмесяц,"1-к квартира, 46 м², 3/17 эт.Онлайн-показ"
" Сколковская ул., 1Б Одинцово",1500засутки,"1-к квартира, 30 м², 2/27 эт."
" Московская область, Одинцово, улица Маршала Толубко, 1 Одинцово",30000вмесяц,"1-к квартира, 45.1 м², 14/18 эт."
" Московская область, Одинцово, Рябиновая улица, 5 Одинцово",20000вмесяц,"Студия, 20.2 м², 18/25 эт."
" ул. Чикина, 2 Одинцово",23000вмесяц,"1-к квартира, 35 м², 3/16 эт."
" Триумфальная ул., 4 Одинцово",40000вмесяц,"2-к квартира, 67 м², 14/17 эт."
" город Одинцово, улица Северная Одинцово",28000вмесяц,"3-к квартира, 55 м², 4/5 эт."
" Можайское ш., 21 Одинцово",25500вмесяц,"2-к квартира, 48 м², 5/5 эт."
 микрорайон Новая Трёхгорка Одинцово,40000вмесяц,"3-к квартира, 74 м², 17/25 эт.Онлайн-показ"
" Союзная ул., 2 Одинцово",1490засутки,"1-к квартира, 39 м², 5/9 эт."
" Союзная ул., 10 Одинцово",28000вмесяц,"1-к квартира, 35 м², 2/12 эт.Онлайн-показ"
" Сколковская ул., 3А Одинцово",19800вмесяц,"Студия, 16 м², 2/25 эт."
" Московская область, Одинцово, Сколковская улица, 1В Одинцово",1500засутки,"1-к квартира, 27 м², 2/27 эт."
" Каштановая ул., 6 Одинцово",2000засутки,"Студия, 12.2 м², 5/25 эт."
" Триумфальная ул., 4 Одинцово",23000вмесяц,"1-к квартира, 40.5 м², 7/12 эт.Онлайн-показ"
" Белорусская ул., 3 Одинцово",2000засутки,"Студия, 22 м², 1/20 эт."
" Северная ул., 5к2 Одинцово",35000вмесяц,"1-к квартира, 40 м², 3/21 эт.Онлайн-показ"
" Московская область, Одинцово, Рябиновая улица, 1к1 Одинцово",32700вмесяц,"2-к квартира, 58.7 м², 8/25 эт."
 34А д. Глазынино,2000засутки,"1-к квартира, 40 м², 2/3 эт."
" Можайское ш., 19 Одинцово",27000вмесяц,"2-к квартира, 46 м², 4/5 эт."
" Молодёжная ул., 18 Одинцово",26000вмесяц,"1-к квартира, 25 м², 2/5 эт."
" Вокзальная ул., 19 Одинцово",2600засутки,"1-к квартира, 39.7 м², 6/17 эт."
" Каштановая ул., 2 Одинцово",30000вмесяц,"2-к квартира, 50 м², 16/25 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 23 Одинцово",24000вмесяц,"1-к квартира, 48 м², 11/19 эт."
" ул. Маршала Бирюзова, 14 Одинцово",23600вмесяц,"1-к квартира, 32 м², 2/5 эт."
" Сколковская ул., 3В Одинцово",28000вмесяц,"1-к квартира, 23 м², 1/25 эт.Онлайн-показ"
" ул. Чистяковой, 18 Одинцово",1800засутки,"Студия, 20 м², 1/18 эт."
" Верхне-Пролетарская ул., 35 Одинцово",30000вмесяц,"1-к квартира, 43 м², 5/24 эт."
 жилой комплекс Гусарская Баллада Одинцово,25000вмесяц,"1-к квартира, 40 м², 2/10 эт."
" Можайское ш., 80 Одинцово",2000засутки,"1-к квартира, 39 м², 4/5 эт."
" ул. Говорова, 52 Одинцово",25000вмесяц,"1-к квартира, 45 м², 7/12 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 74А Одинцово",33000вмесяц,"2-к квартира, 62 м², 18/25 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 1 Одинцово",3000засутки,"4-к квартира, 90 м², 12/24 эт."
 жилой комплекс Гусарская Баллада Одинцово,33000вмесяц,"1-к квартира, 41.5 м², 15/17 эт."
Одинцово,20000вмесяц,"Студия, 20 м², 10/17 эт."
" ул. Маршала Жукова, 5 Одинцово",25000вмесяц,"1-к квартира, 37 м², 3/5 эт.Онлайн-показ"
" Белорусская ул., 2 Одинцово",2900засутки,"2-к квартира, 50 м², 10/22 эт."
" ул. Маковского, 12 Одинцово",40000вмесяц,"2-к квартира, 72 м², 8/16 эт."
 территория Бор д. Одинцово,25000вмесяц,"2-к квартира, 45 м², 2/3 эт."
" Можайское ш., 134 Одинцово",32000вмесяц,"2-к квартира, 50 м², 7/12 эт.Онлайн-показ"
" Белорусская ул., 3 Одинцово",1800засутки,"Студия, 22 м², 1/20 эт."
" Можайское ш., 24 Одинцово",1490засутки,"1-к квартира, 39 м², 3/9 эт."
" Можайское ш., 43 Одинцово",35000вмесяц,"2-к квартира, 46 м², 3/12 эт."
" ул. Чистяковой, 65 Одинцово",33000вмесяц,"1-к квартира, 44.7 м², 2/22 эт."
" Белорусская ул., 13 Одинцово",1450засутки,"1-к квартира, 40 м², 2/22 эт."
" Сколковская ул., 7Б Одинцово",40000вмесяц,"1-к квартира, 44 м², 9/17 эт."
" Северная ул., 26 Одинцово",1500засутки,"1-к квартира, 37 м², 3/9 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 25 Одинцово",35000вмесяц,"2-к квартира, 67 м², 6/17 эт.Онлайн-показ"
" Северная ул., 5к4 Одинцово",2200засутки,"Студия, 38 м², 15/24 эт."
" ул. Маковского, 26 Одинцово",30000вмесяц,"1-к квартира, 38 м², 16/25 эт."
" Московская область, Одинцово, Сколковская улица, 1Б Одинцово",1500засутки,"1-к квартира, 33 м², 2/27 эт."
" Северная ул., 52 Одинцово",1700засутки,"1-к квартира, 36 м², 2/5 эт."
" Молодёжная ул., 10 Одинцово",22000вмесяц,"2-к квартира, 46 м², 4/5 эт.Онлайн-показ"
" Можайское ш., 143 Одинцово",35000вмесяц,"2-к квартира, 53 м², 16/16 эт.Онлайн-показ"
" ул. Маковского, 26 Одинцово",32000вмесяц,"1-к квартира, 39 м², 20/25 эт.Онлайн-показ"
" Северная ул., 36 Одинцово",2000засутки,"2-к квартира, 65 м², 3/22 эт."
" Белорусская ул., 10 Одинцово",35000вмесяц,"2-к квартира, 55 м², 4/20 эт."
" Северная ул., 5к3 Одинцово",40000вмесяц,"2-к квартира, 56 м², 5/21 эт."
" Северная ул., 5к4 Одинцово",1800засутки,"1-к квартира, 38 м², 4/24 эт."
" ул. Маршала Неделина, 9 Одинцово",28000вмесяц,"2-к квартира, 55 м², 2/9 эт."
" Молодёжная ул., 18 Одинцово",20000вмесяц,"1-к квартира, 35 м², 5/5 эт."
" Московская область, Одинцово, Каштановая улица, 10к1 Одинцово",51700вмесяц,"3-к квартира, 80.6 м², 19/25 эт."
" Сколковская ул., 3А Одинцово",19800вмесяц,"Студия, 16 м², 2/25 эт."
" ул. Чикина, 12 Одинцово",2000засутки,"1-к квартира, 46 м², 9/17 эт."
" Сосновая ул., 24 Одинцово",1500засутки,"1-к квартира, 35 м², 2/9 эт."
" Можайское ш., 34 Одинцово",2300засутки,"2-к квартира, 65 м², 5/20 эт."
" Московская область, Одинцово, Сколковская улица, 1Б Одинцово",1500засутки,"1-к квартира, 28 м², 2/27 эт."
" Вокзальная ул., 19 Одинцово",25000вмесяц,"1-к квартира, 42 м², 8/24 эт."
" ул. Маршала Жукова, 1А Одинцово",25000вмесяц,"1-к квартира, 44 м², 3/9 эт.Онлайн-показ"
" ул. Чистяковой, 42 Одинцово",23000вмесяц,"1-к квартира, 35.5 м², 2/17 эт."
" ул. Говорова, 50 Одинцово",30000вмесяц,"1-к квартира, 38 м², 4/17 эт."
" Вокзальная ул., 19 Одинцово",1500засутки,"1-к квартира, 46 м², 8/17 эт."
" Можайское ш., 143 Одинцово",25000вмесяц,"1-к квартира, 34 м², 5/16 эт.Онлайн-показ"
" Союзная ул., 2 Одинцово",2000засутки,"1-к квартира, 45 м², 3/9 эт."
" Московская область, Одинцово, Каштановая улица, 10к1 Одинцово",33000вмесяц,"1-к квартира, 35.9 м², 21/25 эт."
" 9-й микрорайон, Белорусская ул., 11 Одинцово",20000вмесяц,"1-к квартира, 30 м², 4/25 эт."
" ул. Говорова, 8А Одинцово",30000вмесяц,"2-к квартира, 50 м², 8/9 эт."
" ул. Маршала Бирюзова, 26 Одинцово",24000вмесяц,"1-к квартира, 35 м², 4/9 эт."
" ул. Маршала Жукова, 35 Одинцово",45000вмесяц,"3-к квартира, 56 м², 2/5 эт."
" Московская область, Одинцово, Красногорское шоссе, 4 Одинцово",70000вмесяц,"4-к квартира, 140 м², 6/14 эт."
" Вокзальная ул., 1 Одинцово",1490засутки,"1-к квартира, 34 м², 5/9 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 35 Одинцово",999засутки,"Студия, 23 м², 4/19 эт."
" Московская область, Одинцово, Северная улица, 5к4 Одинцово",27000вмесяц,"Студия, 36 м², 8/22 эт."
" Можайское ш., 26 Одинцово",1800засутки,"2-к квартира, 56 м², 5/5 эт."
" Северная улица, 5к4 Одинцово",2500засутки,"3-к квартира, 85 м², 7/24 эт."
" ул. Говорова, 26 Одинцово",41000вмесяц,"2-к квартира, 65 м², 3/17 эт."
" Каштановая ул., 6 Одинцово",23000вмесяц,"Студия, 22 м², 4/12 эт."
" Можайское ш., 161 Одинцово",26000вмесяц,"1-к квартира, 38 м², 1/17 эт."
" ул. Маковского, 16 Одинцово",38000вмесяц,"2-к квартира, 60 м², 3/22 эт.Онлайн-показ"
" б-р Маршала Крылова, 6 Одинцово",40000вмесяц,"2-к квартира, 51 м², 4/17 эт."
" ул. Говорова, 26 Одинцово",35000вмесяц,"2-к квартира, 52 м², 4/15 эт.Онлайн-показ"
" ул. Чистяковой, 68 Одинцово",2500засутки,"1-к квартира, 40 м², 7/20 эт."
" Красногорское ш., 4 Одинцово",50000вмесяц,"4-к квартира, 136 м², 10/17 эт."
" ул. Чистяковой, 2 Одинцово",33000вмесяц,"3-к квартира, 73 м², 2/16 эт."
" Триумфальная ул., 8 Одинцово",28000вмесяц,"1-к квартира, 45 м², 8/16 эт."
" Северная ул., 5к3 Одинцово",30000вмесяц,"Студия, 32 м², 13/24 эт."
" Триумфальная ул., 7 Одинцово",28000вмесяц,"1-к квартира, 42 м², 15/17 эт.Онлайн-показ"
" ул. Говорова, 52 Одинцово",25000вмесяц,"1-к квартира, 45 м², 7/12 эт."
 жилой комплекс Гусарская Баллада Одинцово,33000вмесяц,"1-к квартира, 41.5 м², 15/17 эт."
" Садовая ул., 28А Одинцово",27000вмесяц,"1-к квартира, 52 м², 23/24 эт."
